07-50-57 - Experiment started
07-50-57 - Using device: cuda
07-50-57 - Configuration saved to results\28-03-25_07-50-57\config.txt
07-50-57 - 
Training Standard MLP Model
07-51-02 - Standard Model - Initial Train Accuracy: 10.05%
07-51-09 - Epoch 1: Train Loss: 0.5629, Train Accuracy: 79.81%
07-51-10 - Standard MLP - Epoch 1: Test Accuracy: 82.35%
07-51-18 - Epoch 2: Train Loss: 0.4213, Train Accuracy: 84.79%
07-51-19 - Standard MLP - Epoch 2: Test Accuracy: 85.01%
07-51-26 - Epoch 3: Train Loss: 0.3898, Train Accuracy: 85.92%
07-51-27 - Standard MLP - Epoch 3: Test Accuracy: 84.22%
07-51-34 - Epoch 4: Train Loss: 0.3728, Train Accuracy: 86.32%
07-51-35 - Standard MLP - Epoch 4: Test Accuracy: 85.67%
07-51-42 - Epoch 5: Train Loss: 0.3554, Train Accuracy: 87.12%
07-51-43 - Standard MLP - Epoch 5: Test Accuracy: 85.87%
07-51-50 - Epoch 6: Train Loss: 0.3445, Train Accuracy: 87.55%
07-51-51 - Standard MLP - Epoch 6: Test Accuracy: 86.33%
07-51-58 - Epoch 7: Train Loss: 0.3332, Train Accuracy: 87.87%
07-51-59 - Standard MLP - Epoch 7: Test Accuracy: 85.95%
07-52-06 - Epoch 8: Train Loss: 0.3278, Train Accuracy: 87.89%
07-52-07 - Standard MLP - Epoch 8: Test Accuracy: 86.38%
07-52-14 - Epoch 9: Train Loss: 0.3176, Train Accuracy: 88.30%
07-52-15 - Standard MLP - Epoch 9: Test Accuracy: 86.51%
07-52-22 - Epoch 10: Train Loss: 0.3092, Train Accuracy: 88.63%
07-52-23 - Standard MLP - Epoch 10: Test Accuracy: 86.52%
